#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 3 0 MPI_Gatherv 10485760 1 6.7555e-02 6.7555e-02 6.7555e-02
ipm_noregion 8 0 MPI_Gatherv 10485760 1 6.1843e-02 6.1843e-02 6.1843e-02
ipm_noregion 0 0 MPI_Gatherv 10485760 1 7.5052e-02 7.5052e-02 7.5052e-02
ipm_noregion 2 0 MPI_Gatherv 10485760 1 6.4994e-02 6.4994e-02 6.4994e-02
ipm_noregion 10 0 MPI_Gatherv 10485760 1 6.1621e-02 6.1621e-02 6.1621e-02
ipm_noregion 6 0 MPI_Gatherv 10485760 1 6.2620e-02 6.2620e-02 6.2620e-02
ipm_noregion 1 0 MPI_Gatherv 10485760 1 8.7461e-03 8.7461e-03 8.7461e-03
ipm_noregion 4 0 MPI_Gatherv 10485760 1 5.7506e-02 5.7506e-02 5.7506e-02
ipm_noregion 9 0 MPI_Gatherv 10485760 1 2.1184e-02 2.1184e-02 2.1184e-02
ipm_noregion 7 0 MPI_Gatherv 10485760 1 5.6076e-02 5.6076e-02 5.6076e-02
ipm_noregion 5 0 MPI_Gatherv 10485760 1 7.0000e-02 7.0000e-02 7.0000e-02
ipm_noregion 11 0 MPI_Gatherv 10485760 1 6.8498e-02 6.8498e-02 6.8498e-02
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 5 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 4 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 3.8147e-06 3.8147e-06 3.8147e-06
ipm_noregion 10 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 9 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 7 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 8 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 9 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
